"Num_Clones" "Count" "Filename" "lib"
"1" 1 1300749 "10B" "lib2"
"2" 2 427078 "10B" "lib2"
"3" 3 219937 "10B" "lib2"
"4" 4 98660 "10B" "lib2"
"5" 5 39969 "10B" "lib2"
"6" 6 15648 "10B" "lib2"
"7" 7 6137 "10B" "lib2"
"8" 8 2560 "10B" "lib2"
"9" 9 1172 "10B" "lib2"
"10" 10 575 "10B" "lib2"
"11" 11 414 "10B" "lib2"
"12" 12 265 "10B" "lib2"
"13" 13 169 "10B" "lib2"
"14" 14 150 "10B" "lib2"
"15" 15 125 "10B" "lib2"
"16" 16 99 "10B" "lib2"
"17" 17 84 "10B" "lib2"
"18" 18 81 "10B" "lib2"
"19" 19 43 "10B" "lib2"
"20" 20 48 "10B" "lib2"
"21" 21 43 "10B" "lib2"
"22" 22 35 "10B" "lib2"
"23" 23 41 "10B" "lib2"
"24" 24 31 "10B" "lib2"
"25" 25 30 "10B" "lib2"
"26" 26 25 "10B" "lib2"
"27" 27 25 "10B" "lib2"
"28" 28 24 "10B" "lib2"
"29" 29 16 "10B" "lib2"
"30" 30 26 "10B" "lib2"
"31" 31 15 "10B" "lib2"
"32" 32 16 "10B" "lib2"
"33" 33 6 "10B" "lib2"
"34" 34 14 "10B" "lib2"
"35" 35 11 "10B" "lib2"
"36" 36 13 "10B" "lib2"
"37" 37 6 "10B" "lib2"
"38" 38 5 "10B" "lib2"
"39" 39 5 "10B" "lib2"
"40" 40 8 "10B" "lib2"
"41" 41 6 "10B" "lib2"
"42" 42 2 "10B" "lib2"
"43" 43 5 "10B" "lib2"
"44" 44 9 "10B" "lib2"
"45" 45 5 "10B" "lib2"
"46" 46 3 "10B" "lib2"
"47" 47 1 "10B" "lib2"
"48" 48 3 "10B" "lib2"
"49" 49 2 "10B" "lib2"
"50" 50 4 "10B" "lib2"
"51" 51 4 "10B" "lib2"
"52" 52 4 "10B" "lib2"
"53" 53 2 "10B" "lib2"
"54" 54 2 "10B" "lib2"
"55" 55 2 "10B" "lib2"
"56" 56 2 "10B" "lib2"
"57" 57 1 "10B" "lib2"
"58" 58 4 "10B" "lib2"
"59" 59 1 "10B" "lib2"
"60" 60 2 "10B" "lib2"
"61" 66 1 "10B" "lib2"
"62" 67 1 "10B" "lib2"
"63" 70 2 "10B" "lib2"
"64" 73 1 "10B" "lib2"
"65" 74 1 "10B" "lib2"
"66" 76 1 "10B" "lib2"
"67" 77 1 "10B" "lib2"
"68" 79 2 "10B" "lib2"
"69" 1 1701976 "10G" "lib2"
"70" 2 546527 "10G" "lib2"
"71" 3 299662 "10G" "lib2"
"72" 4 143545 "10G" "lib2"
"73" 5 62105 "10G" "lib2"
"74" 6 25613 "10G" "lib2"
"75" 7 10673 "10G" "lib2"
"76" 8 4794 "10G" "lib2"
"77" 9 2232 "10G" "lib2"
"78" 10 1149 "10G" "lib2"
"79" 11 660 "10G" "lib2"
"80" 12 432 "10G" "lib2"
"81" 13 352 "10G" "lib2"
"82" 14 231 "10G" "lib2"
"83" 15 191 "10G" "lib2"
"84" 16 204 "10G" "lib2"
"85" 17 142 "10G" "lib2"
"86" 18 121 "10G" "lib2"
"87" 19 117 "10G" "lib2"
"88" 20 90 "10G" "lib2"
"89" 21 60 "10G" "lib2"
"90" 22 74 "10G" "lib2"
"91" 23 60 "10G" "lib2"
"92" 24 47 "10G" "lib2"
"93" 25 43 "10G" "lib2"
"94" 26 41 "10G" "lib2"
"95" 27 31 "10G" "lib2"
"96" 28 33 "10G" "lib2"
"97" 29 41 "10G" "lib2"
"98" 30 28 "10G" "lib2"
"99" 31 26 "10G" "lib2"
"100" 32 26 "10G" "lib2"
"101" 33 19 "10G" "lib2"
"102" 34 22 "10G" "lib2"
"103" 35 13 "10G" "lib2"
"104" 36 17 "10G" "lib2"
"105" 37 27 "10G" "lib2"
"106" 38 14 "10G" "lib2"
"107" 39 10 "10G" "lib2"
"108" 40 9 "10G" "lib2"
"109" 41 7 "10G" "lib2"
"110" 42 6 "10G" "lib2"
"111" 43 6 "10G" "lib2"
"112" 44 16 "10G" "lib2"
"113" 45 12 "10G" "lib2"
"114" 46 3 "10G" "lib2"
"115" 47 3 "10G" "lib2"
"116" 48 3 "10G" "lib2"
"117" 49 3 "10G" "lib2"
"118" 50 3 "10G" "lib2"
"119" 51 4 "10G" "lib2"
"120" 52 8 "10G" "lib2"
"121" 53 3 "10G" "lib2"
"122" 54 8 "10G" "lib2"
"123" 55 3 "10G" "lib2"
"124" 56 4 "10G" "lib2"
"125" 57 5 "10G" "lib2"
"126" 58 3 "10G" "lib2"
"127" 59 2 "10G" "lib2"
"128" 60 4 "10G" "lib2"
"129" 61 6 "10G" "lib2"
"130" 62 1 "10G" "lib2"
"131" 63 1 "10G" "lib2"
"132" 64 2 "10G" "lib2"
"133" 65 2 "10G" "lib2"
"134" 66 5 "10G" "lib2"
"135" 67 2 "10G" "lib2"
"136" 68 5 "10G" "lib2"
"137" 69 5 "10G" "lib2"
