"Num_Clones" "Count" "Filename" "lib"
"1" 1 295650 "LakeW_17-03702" "17-079"
"2" 2 55219 "LakeW_17-03702" "17-079"
"3" 3 16236 "LakeW_17-03702" "17-079"
"4" 4 4701 "LakeW_17-03702" "17-079"
"5" 5 1321 "LakeW_17-03702" "17-079"
"6" 6 369 "LakeW_17-03702" "17-079"
"7" 7 130 "LakeW_17-03702" "17-079"
"8" 8 38 "LakeW_17-03702" "17-079"
"9" 9 19 "LakeW_17-03702" "17-079"
"10" 10 6 "LakeW_17-03702" "17-079"
"11" 11 1 "LakeW_17-03702" "17-079"
"12" 12 2 "LakeW_17-03702" "17-079"
"13" 13 2 "LakeW_17-03702" "17-079"
"14" 14 1 "LakeW_17-03702" "17-079"
"15" 1 721316 "Medici_17-13201" "17-079"
"16" 2 138954 "Medici_17-13201" "17-079"
"17" 3 43480 "Medici_17-13201" "17-079"
"18" 4 13455 "Medici_17-13201" "17-079"
"19" 5 4320 "Medici_17-13201" "17-079"
"20" 6 1504 "Medici_17-13201" "17-079"
"21" 7 488 "Medici_17-13201" "17-079"
"22" 8 203 "Medici_17-13201" "17-079"
"23" 9 72 "Medici_17-13201" "17-079"
"24" 10 49 "Medici_17-13201" "17-079"
"25" 11 29 "Medici_17-13201" "17-079"
"26" 12 21 "Medici_17-13201" "17-079"
"27" 13 13 "Medici_17-13201" "17-079"
"28" 14 12 "Medici_17-13201" "17-079"
"29" 15 8 "Medici_17-13201" "17-079"
"30" 16 8 "Medici_17-13201" "17-079"
"31" 17 5 "Medici_17-13201" "17-079"
"32" 18 6 "Medici_17-13201" "17-079"
"33" 19 6 "Medici_17-13201" "17-079"
"34" 20 1 "Medici_17-13201" "17-079"
"35" 22 2 "Medici_17-13201" "17-079"
"36" 23 3 "Medici_17-13201" "17-079"
"37" 24 1 "Medici_17-13201" "17-079"
"38" 25 2 "Medici_17-13201" "17-079"
"39" 27 2 "Medici_17-13201" "17-079"
"40" 31 3 "Medici_17-13201" "17-079"
"41" 32 1 "Medici_17-13201" "17-079"
"42" 33 1 "Medici_17-13201" "17-079"
"43" 35 2 "Medici_17-13201" "17-079"
"44" 47 1 "Medici_17-13201" "17-079"
"45" 53 1 "Medici_17-13201" "17-079"
"46" 1 692095 "Medici_17-13202" "17-079"
"47" 2 133145 "Medici_17-13202" "17-079"
"48" 3 42078 "Medici_17-13202" "17-079"
"49" 4 13295 "Medici_17-13202" "17-079"
"50" 5 4181 "Medici_17-13202" "17-079"
"51" 6 1387 "Medici_17-13202" "17-079"
"52" 7 485 "Medici_17-13202" "17-079"
"53" 8 206 "Medici_17-13202" "17-079"
"54" 9 92 "Medici_17-13202" "17-079"
"55" 10 46 "Medici_17-13202" "17-079"
"56" 11 32 "Medici_17-13202" "17-079"
"57" 12 26 "Medici_17-13202" "17-079"
"58" 13 22 "Medici_17-13202" "17-079"
"59" 14 11 "Medici_17-13202" "17-079"
"60" 15 7 "Medici_17-13202" "17-079"
"61" 16 6 "Medici_17-13202" "17-079"
"62" 17 6 "Medici_17-13202" "17-079"
"63" 18 4 "Medici_17-13202" "17-079"
"64" 19 3 "Medici_17-13202" "17-079"
"65" 20 2 "Medici_17-13202" "17-079"
"66" 21 2 "Medici_17-13202" "17-079"
"67" 22 1 "Medici_17-13202" "17-079"
"68" 23 2 "Medici_17-13202" "17-079"
"69" 24 2 "Medici_17-13202" "17-079"
"70" 25 1 "Medici_17-13202" "17-079"
"71" 26 1 "Medici_17-13202" "17-079"
"72" 27 2 "Medici_17-13202" "17-079"
"73" 28 1 "Medici_17-13202" "17-079"
"74" 30 1 "Medici_17-13202" "17-079"
"75" 31 1 "Medici_17-13202" "17-079"
"76" 40 1 "Medici_17-13202" "17-079"
"77" 49 1 "Medici_17-13202" "17-079"
"78" 1 679249 "Medici_17-13203" "17-079"
"79" 2 130917 "Medici_17-13203" "17-079"
"80" 3 40971 "Medici_17-13203" "17-079"
"81" 4 12469 "Medici_17-13203" "17-079"
"82" 5 3866 "Medici_17-13203" "17-079"
"83" 6 1223 "Medici_17-13203" "17-079"
"84" 7 403 "Medici_17-13203" "17-079"
"85" 8 146 "Medici_17-13203" "17-079"
"86" 9 84 "Medici_17-13203" "17-079"
"87" 10 28 "Medici_17-13203" "17-079"
"88" 11 18 "Medici_17-13203" "17-079"
"89" 12 20 "Medici_17-13203" "17-079"
"90" 13 14 "Medici_17-13203" "17-079"
"91" 14 7 "Medici_17-13203" "17-079"
"92" 15 4 "Medici_17-13203" "17-079"
"93" 16 5 "Medici_17-13203" "17-079"
"94" 17 2 "Medici_17-13203" "17-079"
"95" 18 2 "Medici_17-13203" "17-079"
"96" 20 1 "Medici_17-13203" "17-079"
"97" 21 1 "Medici_17-13203" "17-079"
"98" 22 4 "Medici_17-13203" "17-079"
"99" 23 1 "Medici_17-13203" "17-079"
"100" 25 2 "Medici_17-13203" "17-079"
"101" 30 1 "Medici_17-13203" "17-079"
"102" 31 1 "Medici_17-13203" "17-079"
"103" 32 1 "Medici_17-13203" "17-079"
"104" 41 1 "Medici_17-13203" "17-079"
"105" 1 741058 "Medici_17-13204" "17-079"
"106" 2 142095 "Medici_17-13204" "17-079"
"107" 3 44826 "Medici_17-13204" "17-079"
"108" 4 14174 "Medici_17-13204" "17-079"
"109" 5 4495 "Medici_17-13204" "17-079"
"110" 6 1477 "Medici_17-13204" "17-079"
"111" 7 491 "Medici_17-13204" "17-079"
"112" 8 199 "Medici_17-13204" "17-079"
"113" 9 75 "Medici_17-13204" "17-079"
"114" 10 37 "Medici_17-13204" "17-079"
"115" 11 30 "Medici_17-13204" "17-079"
"116" 12 11 "Medici_17-13204" "17-079"
"117" 13 14 "Medici_17-13204" "17-079"
