"species" "ID" "n"
"1" "BrookTrout" "10000_30" 1
"2" "BrookTrout" "10006_10" 1
"3" "BrookTrout" "1001_59" 1
"4" "BrookTrout" "10021_63" 1
"5" "BrookTrout" "10023_16" 1
"6" "BrookTrout" "10025_48" 1
"7" "BrookTrout" "10034_65" 1
"8" "BrookTrout" "10037_16" 1
"9" "BrookTrout" "10044_45" 1
"10" "BrookTrout" "1005_34" 1
"11" "BrookTrout" "10052_14" 1
"12" "BrookTrout" "10052_19" 1
"13" "BrookTrout" "10052_49" 1
"14" "BrookTrout" "10052_51" 1
"15" "BrookTrout" "10057_8" 1
"16" "BrookTrout" "10070_11" 1
"17" "BrookTrout" "10079_44" 1
"18" "BrookTrout" "10081_21" 1
"19" "BrookTrout" "10084_11" 1
"20" "BrookTrout" "10084_12" 1
"21" "BrookTrout" "10084_43" 1
"22" "BrookTrout" "10091_36" 1
"23" "BrookTrout" "10095_12" 1
"24" "BrookTrout" "10107_38" 1
"25" "BrookTrout" "10111_26" 1
"26" "BrookTrout" "10117_45" 1
"27" "BrookTrout" "1012_58" 1
"28" "BrookTrout" "10122_11" 1
"29" "BrookTrout" "10124_18" 1
"30" "BrookTrout" "10127_19" 1
"31" "BrookTrout" "10134_51" 1
"32" "BrookTrout" "10140_18" 1
"33" "BrookTrout" "10140_26" 1
"34" "BrookTrout" "10140_31" 1
"35" "BrookTrout" "10140_45" 1
"36" "BrookTrout" "10140_52" 1
"37" "BrookTrout" "10147_43" 1
"38" "BrookTrout" "10153_63" 1
"39" "BrookTrout" "10157_62" 1
"40" "BrookTrout" "10160_24" 1
"41" "BrookTrout" "10162_53" 1
"42" "BrookTrout" "10165_17" 1
"43" "BrookTrout" "10165_62" 1
"44" "BrookTrout" "10175_42" 1
"45" "BrookTrout" "1018_13" 1
"46" "BrookTrout" "1018_56" 1
"47" "BrookTrout" "10180_42" 1
"48" "BrookTrout" "10183_17" 1
"49" "BrookTrout" "10183_24" 1
"50" "BrookTrout" "10184_53" 1
"51" "BrookTrout" "10186_20" 1
"52" "BrookTrout" "10208_63" 1
"53" "BrookTrout" "10209_17" 1
"54" "BrookTrout" "10209_49" 1
"55" "BrookTrout" "10211_39" 1
"56" "BrookTrout" "10212_53" 1
"57" "BrookTrout" "10222_58" 1
"58" "BrookTrout" "10225_15" 1
"59" "BrookTrout" "10227_65" 1
"60" "BrookTrout" "10230_9" 1
"61" "BrookTrout" "10234_38" 1
"62" "BrookTrout" "10237_26" 1
"63" "BrookTrout" "10239_19" 1
"64" "BrookTrout" "10241_25" 1
"65" "BrookTrout" "10242_43" 1
"66" "BrookTrout" "10244_64" 1
"67" "BrookTrout" "1025_10" 1
"68" "BrookTrout" "1025_31" 1
"69" "BrookTrout" "1025_51" 1
"70" "BrookTrout" "10250_17" 1
"71" "BrookTrout" "10252_49" 1
"72" "BrookTrout" "10252_63" 1
"73" "BrookTrout" "10255_33" 1
"74" "BrookTrout" "10255_51" 1
"75" "BrookTrout" "10266_63" 1
"76" "BrookTrout" "10269_42" 1
"77" "BrookTrout" "1027_28" 1
"78" "BrookTrout" "1027_64" 1
"79" "BrookTrout" "1027_65" 1
"80" "BrookTrout" "10274_28" 1
"81" "BrookTrout" "10277_26" 1
"82" "BrookTrout" "10279_57" 1
"83" "BrookTrout" "10299_15" 1
"84" "BrookTrout" "10300_41" 1
"85" "BrookTrout" "10301_7" 1
"86" "BrookTrout" "10302_49" 1
"87" "BrookTrout" "10307_29" 1
"88" "BrookTrout" "10312_29" 1
"89" "BrookTrout" "10313_51" 1
"90" "BrookTrout" "10318_11" 1
"91" "BrookTrout" "10318_30" 1
"92" "BrookTrout" "10322_13" 1
"93" "BrookTrout" "10322_42" 1
"94" "BrookTrout" "10324_28" 1
"95" "BrookTrout" "10324_35" 1
"96" "BrookTrout" "10333_14" 1
"97" "BrookTrout" "10335_14" 1
"98" "BrookTrout" "10335_6" 1
"99" "BrookTrout" "10337_60" 1
"100" "BrookTrout" "10341_43" 1
"101" "BrookTrout" "10346_29" 1
"102" "BrookTrout" "10346_49" 1
"103" "BrookTrout" "10358_25" 1
"104" "BrookTrout" "1036_29" 1
"105" "BrookTrout" "1036_57" 1
"106" "BrookTrout" "10360_10" 1
"107" "BrookTrout" "10360_59" 1
"108" "BrookTrout" "10360_7" 1
"109" "BrookTrout" "10367_35" 1
"110" "BrookTrout" "10385_18" 1
"111" "BrookTrout" "10389_36" 1
"112" "BrookTrout" "10390_34" 1
"113" "BrookTrout" "10391_44" 1
"114" "BrookTrout" "10391_45" 1
"115" "BrookTrout" "10392_37" 1
"116" "BrookTrout" "1040_36" 1
"117" "BrookTrout" "10400_53" 1
"118" "BrookTrout" "10406_64" 1
"119" "BrookTrout" "1041_60" 1
"120" "BrookTrout" "10415_54" 1
"121" "BrookTrout" "10434_23" 1
"122" "BrookTrout" "10434_41" 1
"123" "BrookTrout" "10437_32" 1
"124" "BrookTrout" "10438_54" 1
"125" "BrookTrout" "10441_13" 1
"126" "BrookTrout" "10446_32" 1
"127" "BrookTrout" "10453_13" 1
"128" "BrookTrout" "10468_53" 1
"129" "BrookTrout" "10469_13" 1
"130" "BrookTrout" "10471_28" 1
"131" "BrookTrout" "10471_53" 1
"132" "BrookTrout" "10472_42" 1
"133" "BrookTrout" "10472_9" 1
"134" "BrookTrout" "10474_19" 1
"135" "BrookTrout" "10477_22" 1
"136" "BrookTrout" "10479_42" 1
"137" "BrookTrout" "10480_16" 1
"138" "BrookTrout" "10485_23" 1
"139" "BrookTrout" "10485_39" 1
"140" "BrookTrout" "10488_53" 1
"141" "BrookTrout" "10490_40" 1
"142" "BrookTrout" "10490_41" 1
"143" "BrookTrout" "10491_18" 1
"144" "BrookTrout" "10498_15" 1
"145" "BrookTrout" "105_37" 1
"146" "BrookTrout" "1050_57" 1
"147" "BrookTrout" "10501_36" 1
"148" "BrookTrout" "10501_38" 1
"149" "BrookTrout" "10509_15" 1
"150" "BrookTrout" "1051_39" 1
"151" "BrookTrout" "1051_40" 1
"152" "BrookTrout" "1051_43" 1
"153" "BrookTrout" "10511_60" 1
"154" "BrookTrout" "10527_39" 1
"155" "BrookTrout" "10527_40" 1
"156" "BrookTrout" "10527_8" 1
"157" "BrookTrout" "10540_22" 1
"158" "BrookTrout" "10540_39" 1
"159" "BrookTrout" "10540_58" 1
"160" "BrookTrout" "10540_59" 1
"161" "BrookTrout" "10544_56" 1
"162" "BrookTrout" "10544_58" 1
"163" "BrookTrout" "10551_52" 1
"164" "BrookTrout" "10553_13" 1
"165" "BrookTrout" "10553_24" 1
"166" "BrookTrout" "10553_30" 1
"167" "BrookTrout" "10553_37" 1
"168" "BrookTrout" "10553_43" 1
"169" "BrookTrout" "10553_47" 1
"170" "BrookTrout" "10553_61" 1
"171" "BrookTrout" "10555_46" 1
"172" "BrookTrout" "10558_15" 1
"173" "BrookTrout" "10558_17" 1
"174" "BrookTrout" "10558_26" 1
"175" "BrookTrout" "10559_56" 1
"176" "BrookTrout" "10559_58" 1
"177" "BrookTrout" "10561_61" 1
"178" "BrookTrout" "10565_39" 1
"179" "BrookTrout" "10565_62" 1
"180" "BrookTrout" "10565_64" 1
"181" "BrookTrout" "10572_35" 1
"182" "BrookTrout" "10572_46" 1
"183" "BrookTrout" "10573_63" 1
"184" "BrookTrout" "10576_42" 1
"185" "BrookTrout" "10576_56" 1
"186" "BrookTrout" "10576_59" 1
"187" "BrookTrout" "10582_28" 1
"188" "BrookTrout" "10582_30" 1
"189" "BrookTrout" "10582_46" 1
"190" "BrookTrout" "10583_39" 1
"191" "BrookTrout" "10583_52" 1
"192" "BrookTrout" "10583_63" 1
"193" "BrookTrout" "10587_6" 1
"194" "BrookTrout" "10587_65" 1
"195" "BrookTrout" "10588_13" 1
"196" "BrookTrout" "10588_36" 1
"197" "BrookTrout" "10590_64" 1
"198" "BrookTrout" "10602_31" 1
"199" "BrookTrout" "10608_51" 1
"200" "BrookTrout" "10615_38" 1
"201" "BrookTrout" "10619_11" 1
"202" "BrookTrout" "10619_7" 1
"203" "BrookTrout" "10620_11" 1
"204" "BrookTrout" "10620_65" 1
"205" "BrookTrout" "10623_64" 1
"206" "BrookTrout" "10628_15" 1
"207" "BrookTrout" "10632_60" 1
"208" "BrookTrout" "10637_37" 1
"209" "BrookTrout" "10637_60" 1
"210" "BrookTrout" "10643_23" 1
"211" "BrookTrout" "10644_64" 1
"212" "BrookTrout" "10645_14" 1
"213" "BrookTrout" "10648_10" 1
"214" "BrookTrout" "10648_20" 1
"215" "BrookTrout" "1065_37" 1
"216" "BrookTrout" "10655_7" 1
"217" "BrookTrout" "10658_28" 1
"218" "BrookTrout" "1066_59" 1
"219" "BrookTrout" "10660_11" 1
"220" "BrookTrout" "10660_50" 1
"221" "BrookTrout" "10660_57" 1
"222" "BrookTrout" "10660_62" 1
"223" "BrookTrout" "10662_19" 1
"224" "BrookTrout" "10670_62" 1
"225" "BrookTrout" "10674_29" 1
"226" "BrookTrout" "10674_62" 1
"227" "BrookTrout" "10674_64" 1
"228" "BrookTrout" "10674_65" 1
"229" "BrookTrout" "10675_33" 1
"230" "BrookTrout" "10675_36" 1
"231" "BrookTrout" "10676_38" 1
"232" "BrookTrout" "10686_34" 1
"233" "BrookTrout" "10686_40" 1
"234" "BrookTrout" "10691_41" 1
"235" "BrookTrout" "107_62" 1
"236" "BrookTrout" "10701_23" 1
"237" "BrookTrout" "10702_30" 1
"238" "BrookTrout" "10708_23" 1
"239" "BrookTrout" "1071_64" 1
"240" "BrookTrout" "10714_48" 1
"241" "BrookTrout" "10714_50" 1
"242" "BrookTrout" "10716_47" 1
"243" "BrookTrout" "10718_65" 1
"244" "BrookTrout" "1072_47" 1
"245" "BrookTrout" "10720_50" 1
"246" "BrookTrout" "10720_60" 1
"247" "BrookTrout" "10723_15" 1
"248" "BrookTrout" "10724_62" 1
"249" "BrookTrout" "10743_19" 1
